PrimaryKey,Index Value
708.0,78949
709.0,79073
710.0,79170
711.0,79273
712.0,79457
713.0,79608
714.0,79694
715.0,79798
716.0,79926
717.0,80028
718.0,80109
719.0,80220
720.0,80341
721.0,80450
722.0,80562
723.0,80663
724.0,80752
725.0,80860
726.0,80952
727.0,81072
728.0,81163
729.0,81288
730.0,81392
731.0,81481
732.0,81591
733.0,81699
734.0,81816
735.0,81951
736.0,82068
737.0,82196
738.0,82308
739.0,82442
740.0,82599
741.0,82696
742.0,82783
743.0,82902
744.0,83005
745.0,83111
746.0,83216
747.0,83305
748.0,83395
749.0,83501
750.0,83620
751.0,83724
752.0,83832
753.0,83945
754.0,84042
755.0,84164
756.0,84273
757.0,84373
758.0,84485
759.0,84650
760.0,84754
761.0,84841
762.0,84935
763.0,85048
764.0,85148
765.0,85255
766.0,85371
767.0,85452
768.0,85559
769.0,85693
770.0,85791
771.0,85882
772.0,85976
773.0,86087
774.0,86205
775.0,86308
776.0,86428
777.0,86562
778.0,86665
779.0,86807
780.0,86938
781.0,87033
782.0,87163
783.0,87242
784.0,87347
785.0,87449
786.0,87548
787.0,87646
788.0,87769
789.0,87858
790.0,87955
791.0,88084
792.0,88215
793.0,88322
794.0,88446
795.0,88556
796.0,88669
797.0,88804
798.0,88911
799.0,89013
800.0,89106
801.0,89207
802.0,89300
803.0,89395
804.0,89514
805.0,89635
806.0,89722
807.0,89840
808.0,89981
809.0,90073
810.0,90177
811.0,90275
812.0,90406
813.0,90519
814.0,90667
815.0,90783
816.0,90919
817.0,91011
818.0,91112
819.0,91222
820.0,91330
821.0,91459
822.0,91577
823.0,91685
824.0,91780
825.0,91873
826.0,91993
827.0,92097
828.0,92203
829.0,92308
830.0,92422
831.0,92560
832.0,92682
833.0,92770
834.0,92899
835.0,92990
836.0,93095
837.0,93193
838.0,93293
839.0,93414
840.0,93543
841.0,93644
842.0,93762
843.0,93850
844.0,93950
845.0,94055
846.0,94219
847.0,94302
848.0,94440
849.0,94544
850.0,94653
851.0,94793
852.0,94915
853.0,95020
854.0,95129
855.0,95219
856.0,95338
857.0,95457
858.0,95556
859.0,95644
860.0,95796
861.0,95876
862.0,95959
863.0,96043
864.0,96141
865.0,96265
866.0,96361
867.0,96494
868.0,96606
869.0,96713
870.0,96818
871.0,96938
872.0,97039
873.0,97127
874.0,97218
875.0,97371
876.0,97482
877.0,97597
